"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4072","Test for Browser Windows: check new window message","chromium","Sat Mar 14 23:03:37 UTC 2026","passed","Sat Mar 14 23:03:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","126","Should show error message when API returns 500","chromium","Sat Mar 14 23:03:41 UTC 2026","passed","Sat Mar 14 23:03:41 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","3585","Test for Alerts: check see alert - check that alert with text is displayed after clicking","chromium","Sat Mar 14 23:03:37 UTC 2026","passed","Sat Mar 14 23:03:40 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4555","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","chromium","Sat Mar 14 23:03:42 UTC 2026","passed","Sat Mar 14 23:03:46 UTC 2026","Widgets Suite @widgets","widgets-autocomplete.spec.ts","",""
"","2747","Test for Slider: set value - move the slider with arrows and check set value","chromium","Sat Mar 14 23:03:45 UTC 2026","passed","Sat Mar 14 23:03:48 UTC 2026","Widgets Suite @widgets","widgets-slider.spec.ts","",""
"","4651","Test for Edit fields: enter data, confirm and check result","chromium","Sat Mar 14 23:03:41 UTC 2026","passed","Sat Mar 14 23:03:46 UTC 2026","Elements Box Suite @elements","elements-text-box.spec.ts","",""
"","4129","Test for Interactions: resize box and check size after the action","chromium","Sat Mar 14 23:03:41 UTC 2026","passed","Sat Mar 14 23:03:45 UTC 2026","Interaction Suite @interactions","interactions-resizable.spec.ts","",""
"","5123","Test for Check Box: check main box and verify that all sub boxes are checked","chromium","Sat Mar 14 23:03:41 UTC 2026","passed","Sat Mar 14 23:03:46 UTC 2026","Elements Box Suite @elements","elements-check-box.spec.ts","",""
"","4377","Test for Browser Windows: check new window","chromium","Sat Mar 14 23:03:37 UTC 2026","passed","Sat Mar 14 23:03:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","127","Should mock device list with custom data","chromium","Sat Mar 14 23:03:41 UTC 2026","passed","Sat Mar 14 23:03:42 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","4032","Test for Browser Windows: check new tab","chromium","Sat Mar 14 23:03:37 UTC 2026","passed","Sat Mar 14 23:03:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
